PCBA_QSS014_MAIN_P03;防潮箱;PCBA;1;PCBA for QSS014_MAIN_P03;EmbPCB;None;None;None; None; None
導熱膠;防潮箱;ACCESSORIES;N/A;高導熱接著劑;https://www.ruten.com.tw/item/show?21307099531415;None;None;None; None; None
PCB_QSS014_MAIN_P03;防潮箱A-2;PCBA;N/A;PCB for QSS014 main p03;Emb PCB;None;None;None;  None;  None
PCB_QSS017_MASS_PWR_P01;防潮箱A-1;PCBA;N/A;PCB for QSS017 mass pwr p01;Emb PCB;None;None;None;   None;   None
R_0R_60mW_0402;book;R;N/A;RES 0 OHM JUMPER 1/16W 0402;Guang Hua;;;;;
R_0R_125mW_0805;book;R;N/A;0 ohm 1/8W SMD0805;Guang Hua;;;;;
R_1.2k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_1.82k_100mW_0603;H4;R;N/A;N/A;https://www.digikey.tw/product-detail/zh/stackpole-electronics-inc/RMCF0603FT1K82/RMCF0603FT1K82CT-ND/1943006;None;None;None; None; None
R_10R_333mW_0603_1%_THICK_FILM;H8;R;N/A;N/A;https://www.digikey.tw/product-detail/zh/vishay-dale/CRCW060310R0FKEAHP/541-10.0SCT-ND/;None;None;None;  None;  None
R_100k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_10k_100mW_0603;book;R;N/A;RES SMD 10K OHM 1% 1/10W 0603;光華;None;None;None; None; None
R_12k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_13.7k_200mW_0603_0.5%;H4;R;N/A;RES SMD 13.7K OHM 0.5% 1/5W 0603;https://www.digikey.tw/products/zh?keywords=P20411CT-ND;;;;;
R_17.4k_100mW_0603;H4;R;N/A;RES SMD 17.4K OHM 1% 1/10W 0603;https://www.digikey.tw/products/zh?keywords=311-17.4khrct-nd;;;;;
R_1k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_2.2k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_2.49k_100mW_0603;H4;R;N/A;RES SMD 2.49K OHM 1% 1/10W 0603;https://www.digikey.tw/products/zh?keywords=311-2.49KHRCT-ND;;;;;
R_215k_100mW_0603;H4;R;N/A;RES SMD 215K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-07215KL/311-215KHRCT-ND;;;;;
R_23.2k_100mW_0603;H4;R;N/A;RES SMD 23.2K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-0723K2L/311-23.2KHRCT-ND;;;;;
R_24.9k_100mW_0603;H4;R;N/A;N/A;https://www.digikey.tw/product-detail/zh/vishay-beyschlag-draloric-bc-components/MCT06030C2492FP500/749-1627-1-ND/7347935;None;None;None; None; None
R_28k_100mW_0603;H4;R;N/A;N/A;https://www.digikey.tw/product-detail/zh/stackpole-electronics-inc/RMCF0603FT28K0/RMCF0603FT28K0CT-ND/2418007;None;None;None; None; None
R_2k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_3.3k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_3.4k_100mW_0603;H4;R;N/A;RES SMD 3.4K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-073K4L/311-3.40KHRCT-ND;;;;;
R_3.48k_100mW_0603;H4;R;N/A;RES SMD 4.7K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-074K7L/311-4-70KHRCT-ND/730159;None;None;None;  None;  None
R_30.9k_100mW_0603;H4;R;N/A;RES SMD 30.9K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-0730K9L/311-30.9KHRCT-ND;;;;;
R_3k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_4.7k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_42.2k_100mW_0603;H4;R;N/A;N/A;https://www.digikey.tw/product-detail/zh/stackpole-electronics-inc/RMCF0603FT42K2/RMCF0603FT42K2CT-ND/1943096;None;None;None; None; None
R_432R_100mW_0603;H4;R;N/A;RES SMD 432 OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-07432RL/311-432HRCT-ND;;;;;
